id,stats,explain
42,"{'minutes': 59, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 2, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 1, 'influence': '1.4', 'creativity': '2.7', 'threat': '4.0', 'ict_index': '0.8', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 59}]}]"
43,"{'minutes': 71, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 3, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 6, 'influence': '4.2', 'creativity': '5.3', 'threat': '10.0', 'ict_index': '2.0', 'total_points': 2, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 71}]}]"
44,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 3, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 21, 'influence': '14.8', 'creativity': '13.7', 'threat': '1.0', 'ict_index': '3.0', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 3}]}]"
45,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 3, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 15, 'influence': '19.6', 'creativity': '1.3', 'threat': '2.0', 'ict_index': '2.3', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 3}]}]"
46,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
47,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
48,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
49,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
50,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
51,"{'minutes': 45, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 2, 'influence': '0.6', 'creativity': '12.1', 'threat': '5.0', 'ict_index': '1.8', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 45}]}]"
52,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 3, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 13, 'influence': '8.4', 'creativity': '22.7', 'threat': '6.0', 'ict_index': '3.7', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 8, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 3}]}]"
