assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,462424,None,,0,0,0,0,0.0,670,244,None,,0,2,0.0,0.0,0,William,0.0,0,0,0.0,674,244,27,False,0.0,672,244,0,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15T17:30:06.383244Z,45,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.0,False,None,u,1,3,0.0,657,243,0,0,0,185,0,0.0,0.0,Saliba,0
0,9,557,100,100,13,198869,None,,0,0,1,-1,182.3,213,56,None,,0,2,1.0,0.3,0,Ben,-0.7,35,0,92.5,184,50,67,False,592.8,84,31,2880,,2022-05-01T21:00:13.854536Z,46,1,0,None,0,,198869.jpg,3.3,0,0,White,12.4,False,None,a,1,3,150.0,245,66,107,1839917,0,2576098,0,-0.2,23.3,White,3
1,2,199,None,None,3,437626,None,,0,0,-2,2,188.2,209,53,None,,1,2,3.4,2.7,2,Nuno,1.7,19,1,61.1,267,89,466,False,201.0,312,121,1169,,None,43,0,0,None,0,,437626.jpg,2.2,0,0,Varela Tavares,1.0,False,None,a,1,3,221.0,194,43,49,190787,0,139134,0,0.4,11.4,Tavares,2
0,0,173,100,100,7,437742,None,,0,0,-2,2,263.4,161,101,None,,0,3,1.2,1.3,1,Albert,0.3,11,0,56.3,285,127,478,False,192.4,317,129,1129,,2021-12-18T22:30:10.850943Z,48,0,0,None,0,,437742.jpg,1.7,0,0,Sambi Lokonga,0.1,False,None,a,1,3,108.0,297,153,32,21915,0,33912,0,0.1,6.7,Sambi Lokonga,5
0,0,2,0,0,0,232223,None,,0,0,-3,3,3.7,453,60,None,,0,4,0.0,0.0,0,Folarin,0.0,1,0,1.9,492,60,530,False,4.2,496,58,69,Joined Middlesbrough on loan until the end of the season,2022-01-10T00:00:13.526321Z,47,0,0,None,0,,232223.jpg,1.0,0,0,Balogun,0.2,False,None,u,1,3,17.0,413,59,2,62383,0,81750,0,0.0,0.4,Balogun,0
0,0,4,0,0,0,200641,None,,0,0,0,0,11.6,431,207,None,,0,3,0.0,0.0,0,Reiss,0.0,1,0,3.6,468,207,531,False,4.0,499,217,19,Joined Feyenoord on a season-long loan - Expected back 01 Jul,2021-08-31T17:00:07.058892Z,50,0,0,None,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,None,u,1,3,20.0,404,198,1,468,0,1075,0,0.0,0.2,Nelson,0
0,0,0,0,0,0,463748,None,,0,0,0,0,0.0,563,48,None,,0,1,0.0,0.0,0,Karl,0.0,0,0,0.0,579,68,532,False,0.0,574,68,0,Joined Reading on loan until the end of the season - Expected back 01 Jul,2022-01-24T22:30:12.592957Z,40,0,0,None,0,,463748.jpg,0.0,0,0,Hein,0.3,False,None,u,1,3,0.0,531,33,0,50944,0,44354,0,0.0,0.0,Hein,0
4,9,541,100,100,11,184029,3,,0,0,1,-1,1073.2,5,4,1,,2,3,2.8,4.7,8,Martin,3.7,39,7,238.2,22,15,558,False,676.6,58,22,2782,,2022-01-13T23:00:14.935017Z,56,0,0,None,0,,184029.jpg,3.6,0,0,Ødegaard,6.0,False,None,a,1,3,639.0,53,31,131,1592680,0,1121518,0,0.7,23.4,Ødegaard,4
0,14,641,100,100,12,225321,None,,0,0,6,-6,1.0,472,14,None,,3,1,3.2,3.0,2,Aaron,2.0,39,0,69.0,251,13,559,False,690.2,56,13,3060,,2022-03-19T16:30:14.923927Z,51,0,0,None,0,,225321.jpg,4.0,0,90,Ramsdale,17.1,False,None,a,1,3,0.0,712,76,135,2974404,0,1615861,0,0.4,26.5,Ramsdale,1
0,0,0,None,None,0,220682,None,,0,0,-1,1,0.0,512,26,None,,0,1,1.0,1.0,0,Arthur,0.0,0,0,0.0,534,51,572,False,0.0,529,51,0,,None,39,0,0,None,0,,220682.jpg,0.0,0,0,Okonkwo,0.8,False,None,a,1,3,0.0,478,11,0,118550,0,51494,0,0.0,0.0,Okonkwo,0
